name,gramsPerCup
Abalone,135
"Adobo, with noodles",224
"Adobo, with rice",244
Agave syrup,336
"Alfalfa sprouts, raw",33
Alfredo sauce,260
Alfredo sauce with added vegetables,260
Alfredo sauce with meat,260
Alfredo sauce with meat and added vegetables,260
Alfredo sauce with poultry,260
Alfredo sauce with poultry and added vegetables,260
Alfredo sauce with seafood,260
Alfredo sauce with seafood and added vegetables,260
All Purpose Flour,120
All-Purpose Flour,120
Almond (ground),110
Almond chicken,242
Almond Flour,96
Almond Flour (toasted),96
Almond meal,84
"Almond milk, sweetened",244
"Almond milk, sweetened, chocolate",244
"Almond milk, unsweetened",244
"Almond milk, unsweetened, chocolate",244
Almond oil,224
Almond paste,227
Almond paste (packed),259
Almonds (sliced),86
Almonds (slivered),101.5
"Almonds, chocolate covered candy",160
"Almonds, flavored",141
"Almonds, honey roasted",141
"Almonds, lightly salted",141
"Almonds, NFS",141
"Almonds, salted",141
"Almonds, unroasted",141
"Almonds, unsalted",141
"Almonds, whole (unblanched)",142
Amaranth flour,103
Ambrosia,193
Animal fat or drippings,192
"Antipasto with ham, fish, cheese, vegetables",115
AP Flour,120
Apple juice concentrate,280
Apple pie filling,260
Apple salad with dressing,137
"Apple, baked",190
"Apple, dried",90
"Apple, raw",125
"Apples (dried, diced)",85
"Apples (peeled, sliced)",113
Applesauce,255
"Applesauce, flavored",250
"Applesauce, regular",250
"Applesauce, unsweetened",245
"Apricot, canned",250
"Apricot, dried",160
"Apricot, raw",155
"Apricots (dried, diced)",128
Armadillo,135
"Artichoke, canned, cooked, no added fat",170
"Artichoke, fresh, cooked, no added fat",170
"Artichoke, raw",150
"Artichokes, NS as to form, cooked",175
"Artichokes, stuffed",60
Artisan Bread Flour,120
Artisan Bread Topping,172
"Asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing",90
"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",90
"Asian stir fry vegetables, cooked, fat added",132
"Asian stir fry vegetables, cooked, no added fat",127
"Asparagus soup, cream of, NS as to made with milk or water",248
"Asparagus soup, cream of, prepared with milk",248
"Asparagus, canned, cooked with butter or margarine",245
"Asparagus, canned, cooked with oil",245
"Asparagus, canned, cooked, fat added, NS as to fat type",245
"Asparagus, canned, cooked, no added fat",240
"Asparagus, fresh, cooked with butter or margarine",185
"Asparagus, fresh, cooked with oil",185
"Asparagus, fresh, cooked, fat added, NS as to fat type",185
"Asparagus, fresh, cooked, no added fat",180
"Asparagus, frozen, cooked with butter or margarine",185
"Asparagus, frozen, cooked with oil",185
"Asparagus, frozen, cooked, fat added, NS as to fat type",185
"Asparagus, frozen, cooked, no added fat",180
"Asparagus, NS as to form, cooked",185
"Asparagus, raw",135
Avocado dressing,245
"Avocado, raw",150
Baby Toddler cookie,60
Baby Toddler crackers,60
Baby Toddler crunchies,15
"Baby Toddler puffs, fruit",15
"Baby Toddler puffs, vegetable",15
"Baby Toddler snack, NFS",15
Baby Toddler wheels,15
