name,gramsPerCup
Brains,140.0
Tripe,140.0
Chitterlings,125.0
Hog maws,140.0
Gizzard,145.0
"Hot dog, NFS",150.0
"Hot dog, beef",150.0
"Hot dog, meat and poultry",150.0
"Hot dog, reduced fat",150.0
"Hot dog, turkey",150.0
Beef sausage,138.0
"Beef sausage, reduced fat",138.0
"Beef sausage, reduced sodium",138.0
Beef sausage with cheese,138.0
Blood sausage,138.0
"Bratwurst, with cheese",140.0
Bologna,140.0
"Bologna, reduced fat",140.0
"Bologna, reduced sodium",140.0
Turkey or chicken and beef sausage,138.0
Chorizo,140.0
Head cheese,140.0
"Pastrami, NFS",140.0
"Pastrami, made from any kind of meat, reduced fat",140.0
"Pepperoni, NFS",140.0
"Pepperoni, reduced fat",140.0
"Pepperoni, reduced sodium",140.0
Polish sausage,138.0
Italian sausage,138.0
"Sausage, NFS",138.0
Pork sausage,138.0
"Pork sausage, reduced fat",138.0
"Pork sausage, reduced sodium",138.0
Pork sausage rice links,138.0
Pork and beef sausage,138.0
"Salami, NFS",140.0
"Salami, made from any type of meat, reduced fat",140.0
"Salami, made from any type of meat, reduced sodium",140.0
Thuringer,140.0
Turkey or chicken sausage,138.0
"Turkey or chicken sausage, reduced sodium",138.0
"Turkey or chicken sausage, reduced fat",138.0
Turkey or chicken and pork sausage,138.0
"Turkey or chicken, pork, and beef sausage, reduced sodium",138.0
"Vienna sausage, canned",151.0
"Luncheon meat, NFS",140.0
"Ham, prepackaged or deli, luncheon meat",140.0
"Ham, prepackaged or deli, luncheon meat, reduced sodium",140.0
"Chicken, prepackaged or deli, luncheon meat",140.0
"Chicken, prepackaged or deli, luncheon meat, reduced sodium",140.0
"Ham luncheon meat, loaf type",140.0
Spam,140.0
"Spam, reduced sodium",140.0
Liverwurst,213.0
"Luncheon meat, loaf type",140.0
"Turkey, prepackaged or deli, luncheon meat",140.0
"Turkey, prepackaged or deli, luncheon meat, reduced sodium",140.0
"Turkey ham, prepackaged or deli, luncheon meat",140.0
"Beef, prepackaged or deli, luncheon meat",140.0
"Beef, prepackaged or deli, luncheon meat, reduced sodium",140.0
"Meat spread or potted meat, NFS",225.0
Chicken salad spread,208.0
Ham salad spread,253.0
"Fish, raw",135.0
"Fish, NFS",135.0
"Fish, NS as to type, baked or broiled",135.0
"Fish, NS as to type, baked or broiled, coated",135.0
"Fish, NS as to type, fried",135.0
"Fish, NS as to type, steamed",135.0
"Fish, canned",135.0
"Fish, smoked",135.0
"Fish, carp",135.0
"Fish, catfish, NFS",135.0
"Fish, catfish, baked or broiled",135.0
"Fish, catfish, grilled",135.0
"Fish, catfish, baked or broiled, coated",135.0
"Fish, catfish, fried",135.0
"Fish, catfish, steamed",135.0
"Fish, cod, NFS",135.0
"Fish, cod, baked or broiled",135.0
"Fish, cod, grilled",135.0
"Fish, cod, baked or broiled, coated",135.0
"Fish, cod, fried",135.0
"Fish, cod, steamed",135.0
"Fish, croaker",135.0
"Fish, eel",135.0
"Fish, flounder, NFS",135.0
"Fish, flounder, baked or broiled",135.0
"Fish, flounder, grilled",135.0
"Fish, flounder, baked or broiled, coated",135.0
"Fish, flounder, fried",135.0
"Fish, flounder, steamed",135.0
"Fish, haddock, NFS",135.0
"Fish, haddock, baked or broiled",135.0
"Fish, haddock, grilled",135.0
"Fish, haddock, baked or broiled, coated",135.0
"Fish, haddock, fried",135.0
"Fish, haddock, steamed",135.0
"Fish, halibut",135.0
"Fish, herring",135.0
"Fish, pickled",135.0
"Fish, mackerel, NFS",135.0
"Fish, mackerel, baked or broiled",135.0
"Fish, mackerel, grilled",135.0
"Fish, mackerel, baked or broiled, coated",135.0
"Fish, mackerel, fried",135.0
"Fish, mackerel, canned",135.0
"Fish, mullet",135.0
"Fish, perch, NFS",135.0
"Fish, perch, baked or broiled",135.0
"Fish, perch, grilled",135.0
"Fish, perch, baked or broiled, coated",135.0
"Fish, perch, fried",135.0
"Fish, perch, steamed",135.0
"Fish, pike",135.0
"Fish, pompano, NFS",135.0
"Fish, pompano, baked or broiled",135.0
"Fish, pompano, grilled",135.0
"Fish, pompano, baked or broiled, coated",135.0
"Fish, pompano, fried",135.0
"Fish, pompano, steamed",135.0
"Fish, snapper",135.0
"Fish, salmon, raw",135.0
"Fish, salmon, NFS",135.0
"Fish, salmon, baked or broiled",135.0
"Fish, salmon, grilled",135.0
"Fish, salmon, baked or broiled, coated",135.0
"Fish, salmon, fried",135.0
"Fish, salmon, steamed",135.0
"Fish, salmon, canned",135.0
"Fish, salmon, smoked",135.0
"Fish, bass, NFS",135.0
"Fish, bass, baked or broiled",135.0
"Fish, bass, grilled",135.0
"Fish, bass, baked or broiled, coated",135.0
"Fish, bass, fried",135.0
"Fish, bass, steamed",135.0
"Fish, shark",135.0
"Fish, swordfish",135.0
"Fish, trout, NFS",135.0
"Fish, trout, baked or broiled",135.0
"Fish, trout, grilled",135.0
"Fish, trout, baked or broiled, coated",135.0
"Fish, trout, fried",135.0
"Fish, trout, steamed",135.0
"Fish, tuna, raw",135.0
"Fish, tuna, NFS",135.0
"Fish, tuna, cooked",135.0
"Fish, tuna, canned",135.0
"Fish, whiting, NFS",135.0
"Fish, whiting, baked or broiled",135.0
"Fish, whiting, grilled",135.0
"Fish, whiting, baked or broiled, coated",135.0
"Fish, whiting, fried",135.0
"Fish, whiting, steamed",135.0
"Fish, tilapia, NFS",135.0
"Fish, tilapia, baked or broiled",135.0
"Fish, tilapia, grilled",135.0
"Fish, tilapia, baked or broiled, coated",135.0
"Fish, tilapia, fried",135.0
"Fish, tilapia, steamed",135.0
"Fish, white, mixed species, NFS",135.0
"Fish, white, mixed species, baked or broiled",135.0
"Fish, white, mixed species, baked or broiled, coated",135.0
"Fish, white, mixed species, fried",135.0
"Fish, white, mixed species, steamed",135.0
"Fish, white, mixed species, grilled",135.0
Octopus,135.0
"Calamari, cooked",135.0
"Calamari, fried",135.0
Turtle,135.0
"Shellfish, NFS",135.0
Abalone,135.0
"Clams, raw",225.0
"Clams, NFS",135.0
"Clams, baked or broiled",135.0
"Clams, fried",135.0
"Clams, steamed or boiled",135.0
"Clams, canned",225.0
Crab,135.0
"Crab, canned",135.0
"Crayfish, fried",135.0
"Crayfish, cooked",135.0
Lobster,135.0
Mussels,135.0
"Oysters, raw",225.0
"Oysters, baked or broiled",135.0
"Oysters, steamed",135.0
"Oysters, fried",135.0
"Oysters, canned",225.0
"Scallops, baked or broiled",135.0
"Scallops, grilled",135.0
"Scallops, steamed or boiled",135.0
"Scallops, fried",135.0
"Shrimp, NFS",135.0
"Shrimp, baked or broiled",135.0
"Shrimp, grilled",135.0
"Shrimp, steamed or boiled",135.0
"Shrimp, fried",135.0
"Shrimp, baked or broiled, coated",135.0
"Shrimp, dried",135.0
"Shrimp, canned",135.0
"Barbecue meat, NFS",240.0
Beef with tomato-based sauce,249.0
Beef goulash,249.0
Beef burgundy,244.0
"Beef stew, no potatoes, tomato-based sauce, Mexican style",244.0
"Chili con carne, NS as to beans",254.0
"Chili con carne with beans, from restaurant",254.0
"Chili con carne with beans, home recipe",254.0
"Chili con carne with beans, canned",254.0
Chili con carne with beans,254.0
Chili con carne without beans,254.0
"Chili con carne, NS as to beans, with cheese",254.0
Chili con carne with beans and cheese,254.0
"Sloppy joe, no bun",250.0
Beef with gravy,244.0
Salisbury steak with gravy,244.0
Beef with cream or white sauce,256.0
Beef stroganoff,256.0
Creamed chipped or dried beef,246.0
Swedish meatballs with cream or white sauce,246.0
Beef with mushroom sauce,256.0
Beef with soy-based sauce,244.0
Steak teriyaki,244.0
Beef curry,240.0
Beef curry with rice,200.0
"Barbecue beef, with sauce",240.0
"Barbecue beef, no sauce",135.0
Beef with sweet and sour sauce,252.0
"Stewed seasoned ground beef, Mexican style",222.0
Steak tartare,225.0
"Stewed seasoned ground beef, Puerto Rican style",200.0
"Stewed dried beef, Puerto Rican style",200.0
"Beef stew, meat with gravy, no potatoes, Puerto Rican style",235.0
Ham or pork with gravy,244.0
"Barbecue pork, with sauce",240.0
"Barbecue pork, no sauce",135.0
Sweet and sour pork,226.0
Ham stroganoff,244.0
Ham or pork with mushroom sauce,244.0
Ham or pork with tomato-based sauce,249.0
Sausage with tomato-based sauce,248.0
Sausage gravy,240.0
"Pork stew, no potatoes, tomato-based sauce, Mexican style",244.0
Pork or ham with soy-based sauce,244.0
Frankfurters or hot dogs with tomato-based sauce,244.0
Pork with chili and tomatoes,236.0
"Stewed pork, Puerto Rican style",200.0
"Chili con carne with beans, made with pork",254.0
Lamb or mutton with gravy,244.0
"Stewed goat, Puerto Rican style",177.0
Veal with gravy,244.0
Veal scallopini,140.0
Veal with cream sauce,246.0
Veal with butter sauce,188.0
Veal parmigiana,209.0
Venison or deer with tomato-based sauce,249.0
Venison or deer with gravy,244.0
Chili con carne with venison/deer and beans,254.0
Chicken or turkey cacciatore,244.0
Spaghetti sauce with poultry,260.0
Spaghetti sauce with poultry and added vegetables,260.0
"Stewed chicken with tomato-based sauce, Mexican style",244.0
Chili con carne with chicken or turkey and beans,254.0
Chicken with gravy,244.0
Chicken or turkey fricassee,244.0
Turkey with gravy,244.0
Chicken or turkey with cream sauce,241.0
Chicken or turkey with mushroom sauce,256.0
Chicken or turkey with teriyaki,244.0
Barbecue chicken,240.0
Sweet and sour chicken or turkey,252.0
"Sweet and sour chicken or turkey, without vegetables",252.0
Chicken curry,240.0
Chicken curry with rice,200.0
Chicken with mole sauce,244.0
Chicken or turkey with cheese sauce,241.0
Chicken or turkey cordon bleu,140.0
Chicken or turkey parmigiana,209.0
Orange chicken,252.0
Sesame chicken,252.0
"Fish with cream or white sauce, not tuna or lobster",249.0
Fish timbale or mousse,175.0
Shrimp cocktail,250.0
Tuna with cream or white sauce,237.0
Seafood thermidor,250.0
Spaghetti sauce with seafood,260.0
Spaghetti sauce with seafood and added vegetables,260.0
Shrimp with lobster sauce,185.0
Sweet and sour shrimp,176.0
Shrimp scampi,250.0
Fish with tomato-based sauce,222.0
Fish curry,240.0
Fish curry with rice,200.0
Shrimp teriyaki,201.0
Ceviche,250.0
"Crabs in tomato-based sauce, Puerto Rican style",170.0
"Shrimp in garlic sauce, Puerto Rican style",212.0
Bacalao guisado,250.0
"Meatballs, NS as to type of meat, with sauce",235.0
Meat with tomato-based sauce,249.0
Spaghetti sauce with meat,260.0
Spaghetti sauce with meat and added vegetables,260.0
