name,gramsPerCup
"Potato, canned, NS as to fat",185.0
"Potato, canned, fat added, NS as to fat type",185.0
"Potato, canned, no added fat",185.0
"Potato, roasted, NFS",160.0
"Potato, roasted, from fresh, peel eaten, NS as to fat",160.0
"Potato, roasted, from fresh, peel eaten, no added fat",160.0
"Potato, roasted, from fresh, peel eaten, fat added, NS as to fat type",160.0
"Potato, roasted, from fresh, peel eaten, made with oil",160.0
"Potato, roasted, from fresh, peel eaten, made with butter",160.0
"Potato, roasted, from fresh, peel eaten, made with margarine",160.0
"Potato, roasted, from fresh, peel not eaten, NS as to fat",160.0
"Potato, roasted, from fresh, peel not eaten, fat added, NS as to fat type",160.0
"Potato, roasted, from fresh, peel not eaten, no added fat",160.0
"Potato, roasted, from fresh, peel not eaten, made with oil",160.0
"Potato, roasted, from fresh, peel not eaten, made with butter",160.0
"Potato, roasted, from fresh, peel not eaten, made with margarine",160.0
"Potato, roasted, ready-to-heat",160.0
"Stewed potatoes, Puerto Rican style",240.0
"Potato only from Puerto Rican mixed dishes, gravy and other components reported separately",184.0
"Potato from Puerto Rican style stuffed pot roast, with gravy",200.0
"Potato from Puerto Rican beef stew, with gravy",232.0
"Potato from Puerto Rican chicken fricassee, with sauce",240.0
"Potato chips, NFS",25.0
"Potato chips, plain",25.0
"Potato chips, barbecue flavored",25.0
"Potato chips, sour cream and onion flavored",25.0
"Potato chips, cheese flavored",25.0
"Potato chips, other flavored",25.0
"Potato chips, ruffled, plain",32.0
"Potato chips, ruffled, barbecue flavored",32.0
"Potato chips, ruffled, sour cream and onion flavored",32.0
"Potato chips, ruffled, cheese flavored",32.0
"Potato chips, ruffled, other flavored",32.0
"Potato chips, restructured, plain",25.0
"Potato chips, restructured, flavored",25.0
"Potato chips, baked, plain",25.0
"Potato chips, baked, flavored",25.0
"Potato chips, reduced fat",25.0
"Potato chips, restructured, reduced fat, lightly salted",25.0
"Potato chips, unsalted",25.0
"Potato chips, lightly salted",25.0
"Potato chips, restructured, lightly salted",25.0
"Potato chips, popped, plain",20.0
"Potato chips, popped, flavored",20.0
